question,answer
"What value will the <Eye Sensor near object> Boolean block report when the Eye Sensor is close to an object that has detectable colors?
","It will report TRUE"
"What values can a Boolean variable store in VEXcode V5?
","True or false values"
"What values does the <Pressing bumper> block return?
","TRUE (pressed) or FALSE (released)."
"What will happen if the Front Eye Sensor detects green in this project?
","The VR Robot will turn right for 90 degrees."
"What will happen if the FrontEye detects green in this project?
","Turn right for 90 degrees."
"What will happen when the (Distance from) block reports that it is less than 50 millimeters (mm) from an object?
","The VR Robot will turn right for 90 degrees."
"What will happen when the Bumper Sensor is pressed in this project?
","The VR Robot will stop driving."
"What will happen when the Front Eye Sensor detects red in this project?
","The VR Robot will stop driving."
"What will occur when you press the Start button on the 123 Robot? Select the best answer.","The 123 Robot will start the project"
"What will the <Pressing bumper> block inside the [Wait until] block report in this example?
","TRUE (bumper pressed) or FALSE (bumper released)."
"What will the BaseBot do when the color red is detected in this project?","Drive reverse 2 inches"
"What will the Code Base do when the LED Bumper is pressed in this project?
","Drive reverse for 100 mm, then turn left for 90 degrees"
"What will the robot do based on this project?
","The robot will open the claw 60 degrees, drive forward for 15mm, then close the claw."
"What will the VR Robot will do when the Bumper Sensor is pressed in this project?
","Drive in reverse for 200 millimeters (mm)."
"What will trigger this stack of blocks to run?
","Pressing the R1 button on the Controller"
"What would trigger spinning the Arm Motor down?
","The Controller’s L2 button being pressed."
"When a VIQC team's drivers are ready to participate in a match, what should they do first?
","Report to the Queuing table"
"When adding the arm back onto the Workcell, which step should happen first?

","Place the Potentiometer on the base plate at the desired location"
"When analyzing the data collected in the investigation, which of the following accurately describes the results:","The Motorized Super Car travels the fastest when the large Blue Gear is driving the small Red Gear."
"When and how can you charge the VEX EXP Battery? Select the best answer.","When the battery is separated from the Brain, you can charge the battery through the USB-C port on the Battery"
"When beginning to develop a solution for a coding project such as the one in the Detect and Deliver activity, the first step is to:
","Plan a path for the robot based on the goal of the activity"
"When building the V5 Clawbot, it is important to:
","Ensure the Smart Motors are oriented in the correct direction."
"When can a team handle their robot during a VIQC match? Select the best answer.
","All of the above"
"When coding a robot to turn, why might a “wait for” block be useful?","To ensure the momentum of the robot stops for accurate movement after the turn block."
"When coding with the Drivetrain blocks, what must happen first?","A Drivetrain must be configured first."
"When connecting the cord from the Battery to the Switch or the Motor to the Switch, how do you know they are connected securely?","The cord will click."
"When do Drivetrain blocks become available in a VEXcode EXP project?","After the robot is configured within the VEXcode EXP software"
"When do Drivetrain blocks become available in a VEXcode IQ project?","After the robot is configured within the VEXcode IQ software"
"When getting ready to build the Speedbot what should you do first?
","Gather all the parts needed by referring to the Parts Needed page in the Seek section."
"When pressed, the Bumper Sensor returns a value of 1.
",True
"When removing the claw from the Simple Clawbot, which of the following can help you remove pins and pry pieces apart?",Battery
"When testing a robot design in the "develop solutions" phase of the engineering design process, you should ______.","change only one variable at a time so you can clearly see its impact"
"When the 123 Robot and Coder are paired, ______.
","lights on the robot and Coder flash in time, and the robot plays a 'connected' sound"
"When updating the V5 Robot Brain’s Firmware what is the first step to ensure the firmware updates correctly?
","Connect the robot brain to the computer so it appears in VEXcode V5."
"When used to assess learning about VEXcode GO, the "Block model" evaluates student understanding of ______.
","the structure and function of blocks"
"When will the EXP robot turn right in this VEXcode EXP project?
","After the stack of blocks attached to the {When I receive} block is completed"
"When will the robot stop driving in this example?","When the Bumper Switch is pressed"
"When will the VR Robot move the VR Pen up?
","After the [Repeat] block has repeated all of the blocks inside of it twice"
"When will this VEXcode EXP project draw a red rectangle on the Brain's screen?
","When the [Broadcast and wait] block is executed"
"When would you use a Boolean condition in a VEXcode IQ project?","To utilize sensor feedback in the project"
"When would you use a [Forever] block in a VEXcode IQ project?","To continually check whether a condition is TRUE or FALSE"
"When you need help with a project or example, how can you get help within VEXcode V5? ","Go to the tutorials or help menu tabs for additional in-application assistance."
"When your build is deconstructed and the pieces returned to the VEX GO Kit, it is a good habit to ________________ before putting the Kit away.","Look through the clear lid to be sure that the Kit is full and all pieces are present"
"When your students are building and deconstructing VEX GO builds, it is important to _______________________.","Give every student the opportunity to be a hands-on participant in the process"
"Where can a VIQC team find help with funding?
","The Robotics Education & Competition (REC) Foundation"
"Where can you find example VEX GO coding projects and templates?
","Cumulative Pacing Guide"
"Where can you find information about a robot's connected devices and their ports?
","Device Info or Sensor Dashboard on the Brain"
"Where can you find information about the Coder cards that are needed in a specific STEM Lab?
","Environment Setup section of the Summary"
"Where can you look for error identification when a project will not run in VEXcode VR Python?","The Print Console"
"Where can you navigate to on the Brain’s screen to observe the current position of the claw motor in degrees?","The Devices screen"
"Where can you print values with the [Print] block?","The Brain screen"
"Where do you find a hat block in a project? 
","At the start of a stack of blocks in a VEXcode VR project."
"Where in the Wall Maze Playground will the VR Robot stop in this project?
","Number "1""
"Where is information about VEX products and services stored, organized, and accessible?
","The VEX Library"
"Where is the "Step" function located on the VEX VR interface?
","In the toolbar between the "Start" and "Stop" buttons."
"Where must the Drivers remain during a VIQC Teamwork or Driver Skills match unless they're legally interacting with their robot?
","Driver Station"
"Where on the VR Robot does the Location Sensor read (X,Y) coordinates from?
","The front-center of the VR Robot"
"Which action will add a 90 degree right turn to the 123 Robot’s code?","Pressing the Right button"
"Which action will erase a project on the 123 Robot?","Shaking the 123 Robot"
"Which action will make the Arm Motor spin down in this example?","Pressing the Controller’s L Down button"
"Which action will stop your Coder project?
","Pressing the Stop button on the Coder"
"Which action will trigger this stack of blocks to run?","Pressing the R Up button on the Controller"
"Which action will turn the 123 Robot on?","Pushing the wheels along a surface"
"Which activity does VEX recommend to help students learn computer science concepts effectively?
","Hands-on coding with a robot"
"Which activity is an example of social emotional learning in a STEM Lab? Select the best answer.
","All of the above"
"Which activity would best prepare you to teach a STEM Lab in a short amount of time?
","Reviewing the Goals and Standards, and the Summary of Engage, Play, and Share"
"Which additional component is required to update firmware on a VEX IQ Brain?","Charged battery"
"Which additional resource is available in the Teacher versions of the Workcell STEM Labs?
","Built-in teacher notes and facilitation prompts"
"Which axis and direction does the arrow in this image represent?
","The positive y-axis"
"Which axis is reported by the brain in this project?
",x-axis
"Which axis, that spans vertically up and down, is shown in this image of the Workcell?
",z-axis
"Which behavior can be coded using the touch buttons on the 123 Robot? Select the best answer.","All of the above"
"Which behaviors will be repeated in this project?
","Drive forward for 500 millimeters (mm), Turn right for 90 degrees"
"Which benefit comes from teaching computer science to young students? Select the best answer.
","All of the above"
"Which benefit does a [Repeat] block provide in a project?

","[Repeat] blocks are an efficient way to run a set of behaviors multiple times in a project"
"Which benefit is provided by teaching computer science with a robot? Select the best answer.
","All of the above"
"Which benefit is provided by using a block-based coding paradigm?
","Resulting code is easy to read"
"Which benefit is provided by using a block-based programming paradigm?
","Code is easy to read"
"Which best describes how the Frog Life Cycle build will be constructed, based on this image from the build instructions?","You will first build the Tadpole, then will adapt the build to create each subsequent phase of the Frog Life Cycle in order until you reach the Adult Frog."
"Which best describes the purpose of building the frog habitat in conjunction with completing the Frog Life Cycle build?","To give a setting for taking a photo or drawing to document each phase of the Frog Life Cycle build  "
"Which best describes the purpose of the SPARK layout in STEM Labs?","To provide structured lessons with a low barrier of entry for students, engaging activities with real-world connections, teacher materials for a stress-free implementation, and alignment to core skill and concept standards."
"Which best describes this project?","The robot will drive forward 20mm and then turn right four times to drive in a square."
"Which block can be used to make the robot turn 90 degrees to the left and then stop? Select the best answer.","[Turn for]"
"Which block can be used to make the robot turn 90 degrees to the left? Select the best answer.","[Turn for]"
"Which block in VEXcode V5 runs the 'if' branch when the condition reports 'true,' and runs the 'else' branch when the condition reports 'false?'
","[If then else] block."
"Which block is used to change the speed of the drivetrain?
","[Set drive velocity]"
"Which block is used to determine if the Eye Sensor is close to an object?
","<Found object> block"
"Which block is used to determine if the LED Bumper is pressed?
","<Pressing bumper> block"
"Which block is used to set the color of an LED Bumper?
","The [Set bumper color] block"
"Which block reports if the Bumper Switch is pressed?
","<Pressing bumper>"
"Which block turns the VR Robot to a given clockwise heading?
","[Turn to heading]"
"Which blocks in VEXcode V5 are used to code the Bumper Switch to simulate an emergency stop?
","{When bumper} and [Activate emergency stop]"
"Which Boolean reporter block would you use with [Wait until] to create a project that instructs the VR Robot to drive forward until the bumper sensor is pressed in this project?
","<Pressing bumper>"
"Which button on the VEX EXP Brain can you press to confirm that the battery is correctly inserted?","Check mark"
"Which button on the VEX IQ 2nd generation Brain can you press to confirm that the battery is correctly inserted?","Check mark"
"Which button on the VEX IQ Brain is used to turn on the Brain?
",Check
"Which buttons are used on the Controller to manipulate the arm when the built in Drive program is run?","L1 and L2"
"Which buttons are used on the Controller to manipulate the claw when the built in Drive program is run?","R Up and R Down"
"Which cable do you use to charge the V5 Controller? 
","Micro-USB cable
"
"Which Coder button do you press to make a Coder card project run one card at a time?

",Step
"Which color can be displayed on the LED Bumper? Select the best answer.
","All of the above"
"Which color can the <Detects color> block detect? Select the best answer.
","All of the above"
"Which color will the Touch LED glow based on this project?",Blue
"Which component is required to teach basic computer science with VEX 123? Select the best answer.
","A 123 Robot"
"Which computer science concept can be taught using VEX 123? Select the best answer.
","All of the above"
"Which computer science concept can be taught with VEX 123? Select the best answer.","All of the above"
"Which concept covered in the Workcell Extensions will be new to students?","Turning conveyors"
"Which describes how you move blocks in the workspace?
","Select the block and drag"
"Which describes the process for creating a new Class in the VEXcode VR Licensing System?","Select 'Create Class,' enter the name of the class, and select 'Save changes.'"
"Which describes the purpose of the Play section of a STEM Lab?","Test and Learn"
"Which description of the VEX Library is correct?
","The VEX Library is where information about VEX products and services is stored, organized, and accessible"
"Which device is configured in this image?
","A 2-motor drivetrain"
"Which driver configuration is shown in this image?","Tank Drive"
"Which drivetrain is pictured here?
","H Drive"
"Which EXP piece is used to secure wheels and gears on a shaft?
","Shaft collar"
"Which EXP sensor is used with Drivetrain blocks to maintain straight driving and accurate turns?
","Inertial Sensor"
"Which factor(s) should you consider when choosing a wheel for your robot?","Wheel traction and diameter"
"Which feature enables the 123 Robot to interact with its environment?","Eye sensor"
"Which feature of the VEX GO storage cases helps students and teachers easily find and sort pieces?","Parts locator sheet"
"Which feature on the VEX EXP Brain indicates the correct way to insert the battery?","A printed arrow on the back of the brain"
"Which feature on the VEX IQ 2nd generation Brain indicates the correct way to insert the battery?","A printed arrow on the back of the brain"
"Which feature will run a Coder card project? Select the best answer.
","The Start button on the Coder"
"Which foundational computer science concepts can be taught using VEX 123?
","Sequence, Selection, and Loops"
"Which gear in this gear train is the driving gear?",1
"Which gear is the driven gear in this example?",2
"Which gear train configuration should be used to increase the speed of the driven gear?","A larger gear driving a smaller gear"
"Which gear train configuration should be used to increase the torque of the driven gear?","A smaller gear driving a larger gear"
"Which information can be detected and reported by the Optical Sensor? Select the best answer.
","All of the above"
"Which information does the Distance Sensor report?","If an object is present and how close it is"
"Which is NOT a reason to use a condition in a VEXcode VR project?
","To control the flow of a project."
"Which kind of block is the <Pressing bumper> block?
","Boolean reporter block."
"Which location includes a collection of all VEX GO build instructions, all on one page?",builds.vex.com
"Which method can be used to delete a block in a project?
","Context-select (right click or long press) and then choose 'Delete Block'"
"Which method can be used to share build instructions with students? Select the best answer.","All of the above"
"Which method of additional help or information is provided within the VEXcode IQ software? Select the best answer.
","All of the above"
"Which method of learning computer science concepts is a recommendation for VEX 123?","Integrate hands-on lessons with other subject areas"
"Which method of providing feedback builds resilience in students to support their use of the engineering design process?","Give specific feedback that is targeted at the project, not at the student"
"Which method will save a VEXcode EXP project?
","Select ‘File’ then ‘Save to Your Device’"
"Which of the following accurately describes a connection between executive function and literacy?","Working memory is needed for decoding new words"
"Which of the following accurately describes a way that motor skills are involved in literacy learning?","Fine motor skills are needed to turn pages in a book or manipulate a pencil to write"
"Which of the following accurately describes the goal of the Detect and Deliver Activity?","Code the robot to autonomously drive the robot to pick up cubes anywhere in the “donation drop-off zone” on one side of the Field and deliver them to the “processing zone” on the opposite side of the Field.
"
"Which of the following are considerations in determining whether to keep a build or take it apart?","All of the above"
"Which of the following are examples of executive functioning skills?","Impulse control, following directions and making a plan"
"Which of the following are examples of manipulators?
","All of the above"
"Which of the following best defines a potentiometer?
","An analog variable resistor, which provides a variable voltage value based on the position of the wiper arm (the piece that moves across the resistive track material) inside of the potentiometer."
"Which of the following best describes a behavior?
","Actions performed or to be performed by a robot."
"Which of the following best describes a pinch point?
","A point where a moving object comes into contact with another object."
"Which of the following best describes event-driven programming?
","Programming that uses triggers to initiate behavior(s) in other parts of the project"
"Which of the following best describes how the Bumper Switch can be used?
","To detect collisions and trigger actions
"
"Which of the following best describes how the [If then] and <Optical detects color> are used in this code snippet?
","They are used to trigger the arm to drop the blue disk in the blue drop off location if the Optical Sensor detects a blue colored disk."
"Which of the following best describes how the [If then] block functions in a VEXcode VR project?
","It is a "C" block that runs the blocks inside of it if the Boolean condition reports TRUE"
"Which of the following best describes how to create a project where the VR Robot drives forward until the Bumper Sensor is pressed?
","Select the [Drive] block, then place the [Wait until] block underneath. Place the <Pressing bumper> Boolean reporter block inside the hexagon in the [Wait until] block."
"Which of the following best describes how to make the Super Car drive forward?","Turn the Orange Knob counterclockwise, towards the Blue Wheel on the Super Car."
"Which of the following best describes how to set up a learning center to support student independence?","Display the rules or expectations of the center and activity, and the necessary materials students need to complete the activity, without overwhelming them. "
"Which of the following best describes how VEX Robotics can be used to teach computer science?","VEX Robotics can be used to facilitate both the decomposition and scaffolding of complex programming tasks."
"Which of the following best describes one advantage of using the Distance Sensor in the Detect and Deliver Activity?","The Distance Sensor can detect objects at a greater distance than others, like the Optical Sensor."
"Which of the following best describes the classroom investigation you completed using the Motorized Super Car?","Data was collected on how quickly the Motorized Super Car traveled a set distance using different gear configurations."
"Which of the following best describes the classroom investigation you completed using the Super Car?","Complete and record data from 5 test trials by measuring how far the Super Car travels with 1, 2, 3, 4, and 5 turns of the Orange Knob."
"Which of the following best describes the difference between linear and joint movement of the arm on the Workcell?
","The arm moves in a straight line during linear movement and moves in an arc during joint movement."
"Which of the following best describes the difference in the adults’ role in guided play vs. free play?","In guided play the adults are a part of the play; in free play adults are on the side, mainly there to ensure safety while children play independently."
"Which of the following best describes the functionality of the Touch LED?","It displays colors."
"Which of the following best describes the goal of the 123 Activity shown here?
","To use the Art Ring to turn the robot into a fish and code it to drive around the Tile without falling off.
"
"Which of the following best describes the goal of the Code and Read Lesson? 
","To introduce students to the computer science concepts of programming language, behavior, and sequence by having them code the 123 Robot to drive over letters of a word.
"
"Which of the following best describes the investigation you completed with the Fractions build?","Using VEX GO pieces to create whole number equivalent fractions and drawing and writing these representations, then doing the same for other equivalent fractions."
"Which of the following best describes the Location Sensor?
","A built in Sensor that reports the (X,Y) position of the VR Robot"
"Which of the following best describes the navigation on the Brain’s screen in order to change the driver configuration?
","From the Home screen navigate to ‘Drive’ and then ‘Controls’
"
"Which of the following best describes the navigation on the Brain’s screen in order to change the driver configuration?","From the Home screen navigate to ‘Drive’ and then ‘Controls’"
"Which of the following best describes the process for adding the Touch LED to the robot configuration?","Select the plug icon, then ‘Add a device,’ select ‘TOUCHLED,’ select a port number, and then select ‘DONE’."
"Which of the following best describes the project flow in this VEXcode VR project?
","The project flow will run from the top of the Forever loop down, checking each condition inside of the [If then] blocks.  If the condition is TRUE, the project will execute what is inside of that block. If the condition reports FALSE the project will move to the next [If then] block. This will repeat for all 4 [If then] blocks. Once all [If then] conditions are checked, the project will return to the top of the Forever loop and start again. This pattern will continue forever."
"Which of the following best describes the purpose of the Click on Spacers in this build?","To allow proper spacing and meshing with the 60T gear and 12T gear"
"Which of the following best describes the purpose of the diverter on the Workcell?
","A device to move an object on to or off of a conveyor system."
"Which of the following best describes the purpose of the Traction Links on this build?","To provide additional grip in order to move objects"
"Which of the following best describes the role of executive function in skills like persistence, initiative and curiosity?","Executive function gives students the ability to do something productive with these skills, like make a plan and follow through on how to use a new material in the classroom.
"
"Which of the following best describes the setup of the Detect and Deliver Activity?
","Set up a 3 x 4 Field with walls at one end. Mark off two zones with tape - a one-foot area for the donation drop-off site, and a 6-inch area for the donation processing area. The IQ Cubes are placed in the drop-off site, and the robot starts behind the tape in the donation processing area.
"
"Which of the following best describes the Share section of a STEM Lab lesson? 
","Students and teachers come back together to wrap up the lesson, demonstrate their projects, and share their learning with the group
"
"Which of the following best describes the steps to creating rules with your students in order? 
","Brainstorm ideas; Look for commonalities in the brainstorm; Narrow down the rules to a few general rules; Practice the rules by role playing scenarios.
"
"Which of the following best describes the trend in the Super Car trial data during this investigation?","The distance traveled increased during trials for 1, 2, and 3 turns, then decreased in trials 4 and 5."
"Which of the following best describes the use of “and don’t wait” with blocks?
","To continue to move to the next block in the stack even if the behavior of the non-waiting block is not complete."
"Which of the following best describes the VEX Robotics Library?
","A library of how-to articles for helping users with their robot hardware or programming."
"Which of the following best describes the [Broadcast] block?
","[Broadcast] blocks trigger robot behaviors"
"Which of the following best describes the ‘documentation’ portion of the investigation with the Tadpole with Legs build?","The build is placed in the habitat to be photographed or drawn, and then written about from the perspective of the Tadpole with Legs or a scientist observing the Tadpole with Legs in its environment"
"Which of the following best describes this project?
","The robot will drive forward for 30mm, open and close the claw, and then drive in reverse to its original position."
"Which of the following best describes what the ‘Arm Mastering’ example project in VEXcode V5 displays?
","It displays the potentiometer values on the V5 Brain and indicates if those values are within the predetermined range (PASS) or not within the acceptable range of values (FAIL)."
"Which of the following best describes when to use an E-stop?
","If the machine's functioning becomes a hazard to individuals, other machinery, or itself."
"Which of the following best describes why potentiometers are required to be installed at a certain position and at a certain rotation on the V5 Workcell?
","To ensure the V5 Workcell knows its ‘home location’ that allows it to operate within its range of motion to prevent damage."
"Which of the following best describes why you would use hue values with the Optical Sensor in a VEXcode EXP project?","To drive a robot until it detects an object, then detects the color of the object to determine which way to turn"
"Which of the following best explains this project?
","The robot continues to drive forward if the timer is still less than 60 seconds but if not, the robot stops driving."
"Which of the following best explains what a chassis is and its purpose in the robot’s design?
","A chassis is the structural component of the robot. It contains the drivetrain and allows the robot to be mobile and to include design features used to manipulate objects."
"Which of the following blocks can be used to spin the Claw Motor open and closed in a set direction for a specific measurement?",B
"Which of the following blocks is used to lift up the VEX VR Pen?
","[Move pen] block"
"Which of the following blocks is used to repeat the blocks inside of it for a set number of times?
","[Repeat] block"
"Which of the following blocks reports the X or Y coordinate position of the VR Robot in either millimeters (mm) or inches?
","(Position of Robot) block"
"Which of the following blocks reports TRUE when the Eye Sensor is close to an object that has detectable colors, and FALSE when it is not?
","<Eye Sensor near object> block"
"Which of the following buttons shown is used to power on the Brain?",C
"Which of the following cables are used to update the Controller firmware?
","Smart Cable
"
"Which of the following can be used to increase the font size in the Workspace in VEXcode VR Python?","Selecting 'Edit' in the Toolbar, then 'Adjust Font', and 'Font Increase'"
"Which of the following can you use as a visual indicator of correct indentation in a VEXcode VR Python project?","The guiding lines to the left of the commands in the Workspace"
"Which of the following components of the Unit Overview can help you communicate what students are learning to families and your classroom community?
","The Letter Home
"
"Which of the following concepts is NOT foregrounded in the Meet Your Robot Story?
","How to connect the 123 Robot to the VEX Classroom App
"
"Which of the following describes a reason why the Location Sensor would be used in a project?
","To move the VR Robot to a known location"
"Which of the following describes how the Bumper Sensor works in a VEXcode VR project?
","It is a switch that reports if it is pressed or released."
"Which of the following describes how the VR Robot will move in this project on the Grid Map Playground?
","The VR Robot will turn right 90 degrees then drive forward until the X position is greater than zero. Then, the VR Robot will stop driving"
"Which of the following describes how the VR Robot will move in this project on the Number Grid Playground?
","The VR Robot will turn right 90 degrees and drive forward until the X position is greater than 50. Then the VR Robot will drive in reverse until the X position is less than -500, then it will stop driving"
"Which of the following describes how the VR Robot will move in this project?
","The VR Robot will drive forward until the Y position is greater than 50 millimeters (mm). Then, the VR Robot will stop driving"
"Which of the following describes how to open an Example Project in VEXcode VR?","Select "File" and "Open Examples""
"Which of the following describes the correct process for updating the Controller firmware?
","Connect the Controller to the V5 Brain via a Smart Cable
"
"Which of the following describes the correct process for updating the Controller’s firmware?","Connect the Controller to the device via a USB-C cable, select ‘Update,’ wait for the Controller to update, select ‘OK’ once the Controller has updated"
"Which of the following describes the process for wirelessly pairing the Controller to the V5 Brain?
","Connect the Controller to the Brain via a Smart Cable, wait until the tether icon shows on both devices, then remove the Smart Cable
"
"Which of the following describes the [Wait until] block?
","It will not move to the next block until the condition of the Boolean reports TRUE."
"Which of the following describes why a [Repeat] block would be used in a project?
","To save space and time for blocks that repeat more than once in a project"
"Which of the following describes why you would use an [If then] control block with a [Forever] block?
","To continuously check a condition"
"Which of the following does not help foster a classroom environment in which students' persistence can develop?","Praising students for getting high test grades"
"Which of the following drivetrains is omni-directional and has a “Good” rating for the ability to go over an obstacle?
",Mecanum
"Which of the following explains why the position and angle of the Vision Sensor are important?
","The Vision Sensor’s snapshots need to capture what is in front of the robot from a good vantage point and in an upright and horizontal position."
"Which of the following is a benefit of block-based programming?
","Block-based programming is easier to read than other programming languages."
"Which of the following is a common use of the Bumper Switch?","trigger a robot action when pressed or released"
"Which of the following is a feature of the Playground window?
","All of the above"
"Which of the following is a function of the Distance Sensor?","Detect the distance between the sensor and an object"
"Which of the following is a function of the Optical Sensor?","Color detection"
"Which of the following is a reason for using the Eye Sensor in a project?
","To detect when the VR Robot is near an object"
"Which of the following is a reason to use a condition in a VEXcode VR project?
","To control the flow of a project when using blocks from the Control category by allowing the project to optionally run a section of code based on the evaluation of a Boolean condition."
"Which of the following is a way to save a VEXcode EXP project in app-based VEXcode EXP?","Selecting the name area and naming the project"
"Which of the following is a way to save a VEXcode IQ project in app-based VEXcode IQ?","Selecting the name area and naming the project"
"Which of the following is an acceptable parameter for the [Repeat] block in this project?","The number 4"
"Which of the following is an accurate reading of this dashboard?
","The motor is spinning very fast and there must be little to no resistance because torque is registering as very low or zero."
"Which of the following is an example of a facilitation question you could ask to help students understand the concept of a behavior during this Lesson? 
","Your robot drove to the first letter of your word, what behaviors does it need to do next to help you finish the word?
"
"Which of the following is an example of a motor skills development milestone in infants and toddlers?","Rolling over"
"Which of the following is an example of a recent advancement in Educational Robotics that has made computer science more accessible for students?","Lowering the cost of Educational Robotics and increasing their ease of use"
"Which of the following is an example of cognitive flexibility?","Understanding that a vowel can make different sounds in different contexts"
"Which of the following is an example of differentiation in the Robot Parade Activity setup?
","Adjusting the parade route to meet students’ needs
"
"Which of the following is an example of how motor, spatial, or executive function skills influence students’ non-academic skills?
","All of the above"
"Which of the following is an example of how STEM Labs are flexible?","All of the above"
"Which of the following is an example of how you could differentiate literacy instruction within the Code and Read Lesson? 
","Adjust the length and complexity of the words written on the Tiles to offer appropriate challenges for students
"
"Which of the following is an example of the foundational cognitive skills involved in working collaboratively with VEX 123 or VEX GO?","Impulse control and cognitive flexibility are involved in taking turns and seeing another student do something in a way that might differ from your own idea"
"Which of the following is an example of the recommendation to be part of the conversation?
","The teacher visits each team at different points during the project to ask where they are, what they are currently working on, and how they plan to finish the project."
"Which of the following is coded to simulate an emergency stop button on the Workcell?
","Bumper Switch"
"Which of the following is FALSE about the Letter Home in the Unit Overview?","The Letter Home is designed for teachers to use as a summative assessment for a STEM Lab Unit"
"Which of the following is NOT a benefit of a block-based codng paradigm for students of all coding levels?
","Professional Experience"
"Which of the following is not a benefit of using VEX 123 to teach literacy?","The 123 Robot will read sight words aloud to students"
"Which of the following is NOT a category of VEX Robotics Knowledge Base for VEXcode VR?","Challenge Features"
"Which of the following is NOT a category of VEX Robotics Library for VEXcode VR?
","Challenge Features"
"Which of the following is NOT a cognitive process that underlies spatial learning? ","Collaborative decision making"
"Which of the following is NOT a consideration when using the Art Ring with the 123 Robot? 
","How colorful your Art Ring creation is
"
"Which of the following is NOT a Controller troubleshooting technique?
","Attaching and mounting Bumper Switches"
"Which of the following is NOT a feature of the VR Robot?","The VR Robot has four Bumper Sensors."
"Which of the following is NOT a math skill that involves spatial reasoning and executive function?","Memorizing addition facts"
"Which of the following is NOT a name of a division in VEX Robotics Competitions?
","VEX Primary "
"Which of the following is NOT a part of the VEX V5 Bumper Switch?","The built-in LED lights for display purposes"
"Which of the following is NOT a place in STEM Labs where troubleshooting help can be found?
","VEX forums"
"Which of the following is NOT a possible competition funding option?
","Online completion challenges"
"Which of the following is NOT a quality of a VEX 123 Activity?
","They require extensive classroom prep
"
"Which of the following is NOT a reason to teach literacy using VEX 123?
","Teaching with 123 will instantly improve students’ standardized test scores
"
"Which of the following is NOT a resource available while building a VEX IQ Clawbot?
","Screwdrivers and additional screws"
"Which of the following is NOT a sensor of the VR Robot?
","Touch LED Sensor"
"Which of the following is not a social emotional learning skill?","Phonemic awareness"
"Which of the following is not a strategy teachers can use to help reduce students’ cognitive load?","Placing attractive posters around the classroom"
"Which of the following is NOT a strategy to foster executive function?","Adding a lot of visual posters and loud sounds to a learning center to give students more to pay attention to as they work"
"Which of the following is NOT a technique for improving the stability of a chassis by stiffening it to be more rigid?
","Using plates as structural components for the chassis"
"Which of the following is NOT a type of manipulator?
",Holonomic
"Which of the following is NOT a way that students practice foundational skills while building from build instructions?","Cognitive flexibility is needed to follow instructions in order"
"Which of the following is not a way that VEX 123 can help students practice social emotional learning skills?","By answering workbook questions"
"Which of the following is NOT a way to delete block(s)?
","Select "File" and "Delete"."
"Which of the following is NOT a way to tune the Vision Sensor?
","Renaming the Vision Sensor."
"Which of the following is NOT an advantage of using a Motion Planning Printable with students?
","It is rote practice at identifying touch button behaviors with no practical application


"
"Which of the following is NOT an example of a REC Foundation Competition program?
","VEX Elementary (elementary school)"
"Which of the following is NOT an example of additional help or information provided within the VEXcode V5 software?
","VEX Robotics Library articles"
"Which of the following is NOT an example of differentiating the robot number line lesson for your students? 
","Having all students do the same sums at the same time as a whole group for the whole lesson
"
"Which of the following is NOT an example of how VEX 123 can support mathematical thinking?
","Memorizing math facts
"
"Which of the following is NOT an option on the V5 Brain screen home page? 
","Radio Data"
"Which of the following is NOT found on the Summary page of a VEX 123 STEM Lab?
","A Letter home to families
"
"Which of the following is NOT included in the umbrella of executive function?",Handwriting
"Which of the following is NOT one of the main roles for students at a competition?
",Mentor
"Which of the following is NOT one of the three recommendations given for being a positive facilitator?
","Mentor students closely and directly instruct whenever needed."
"Which of the following is NOT part of the process for pairing or calibrating a Controller?
","Attaching a Smart Motor to the V5 Brain using a Smart Cable."
"Which of the following is NOT something students practice while building a Features Chart, as shown in this Lesson? 
","How to code the 123 Robot in VEXcode 123
"
"Which of the following is NOT something to consider when designing a robot for competition?
","Should the robot’s wheels be different colors?"
"Which of the following is NOT true about Alliances?
","They can be changed at any time."
"Which of the following is NOT true of play in relation to students’ learning?","Play is important for early childhood development, but has no bearing on learning in the adolescent years."
"Which of the following is NOT true of the Play section of a STEM Lab lesson? 
","There is no flexibility in how the activity is to be taught
"
"Which of the following is one purpose of documenting as you develop a project? 
","To aid in data-based decision making
"
"Which of the following is one reason to use a Distance Sensor?","See the same behavior of the robot regardless of starting position"
"Which of the following is one way to log into VEXcode VR using a Class Code?","Enter the Class Code into the space provided on the Splash Screen and select 'Submit.'"
"Which of the following is recommended after updating the firmware on your 123 Robot?","Renaming the robot in the Classroom App and on the actual robot itself
"
"Which of the following is required to log into a VEXcode VR subscription?","A Class Code"
"Which of the following is the best definition for troubleshooting?
","The process of identifying why something does not work effectively and making suggestions on how to improve it."
"Which of the following is the best description for the type of block shown in the picture?","Reporter block"
"Which of the following is the best description for the type of block shown?
","Stack block."
"Which of the following is the best description for the use of the Disk Feeder?
","Allows multiple disks to be dispensed onto the Workcell in an autonomous fashion."
"Which of the following is the best description of joint movement?
","The robot’s path follows the shortest possible arc between two known points."
"Which of the following is the best description of stack blocks?
","They perform the main commands and are shaped to attach above or below other blocks"
"Which of the following is the best description of the [Drive for] block?
","Moves the VR Robot forward or backwards a specific distance."
